identifier	date	year	creator	title	language	collection
bb-guido-beltramini-architecture-without-architects-early-cinquecento-veneto	2018-06-28T00:00:00Z	2018	Backdoor Broadcasting Company	Guido Beltramini – Architecture without Architects. Early Cinquecento Veneto literati as “directors” of the Refashioning of their own Houses		backdoor-broadcasting; podcasts; fav-jclaudiu
le-fabbriche-e-i-disegni-di-andrea-palladio-t.-4-1843	1846-01-01T00:00:00Z	1846	Palladio, Andrea (1508-1580); Bertotti Scamozzi, Ottavio (1719-1790)	Le fabbriche e i disegni di Andrea Palladio e le terme. T. 4	ita	booksbylanguage_italian; booksbylanguage; fav-kiarabelen
bertotti-le-terme-dei-romani-1785	1785-01-01T00:00:00Z	1785	Palladio, Andrea (1508-1580); Bertotti Scamozzi, Ottavio (1719-1790)	Le terme dei romani disegnate da Andrea Palladio e ripubblicate con la giunta di alcune osservazioni = Les thermes des Romains dessinées par André Palladio et publiées de nouvea	ita; french	booksbylanguage_french; booksbylanguage
lefabbricheeidis03bert	1843-01-01T00:00:00Z	1843	Bertotti Scamozzi, Ottavio, 1719-1790; Foppiani, Celestino; Bertotti Scamozzi, Ottavio, 1719-1790. Terme dei Romani disegnate da Andrea Palladio	Le fabbriche e i disegni di Andrea Palladio e Le terme	ita	tischlibrary; blc; americana; fav-helgiklimov; fav-irinashavrina; fav-lsp58agf60; fav-marshall_jennings; fav-rafa_cerq; fav-xsocial
andrea-palladio-paulus-caliary-artist-bernard-picart-engraver	1790-01-01T00:00:00Z	1790	Paulus Caliary, artist; Bernard Picart, engraver ..	Andrea Palladio Paulus Caliary, Artist; Bernard Picart, Engraver	ita	opensource_image
andrea-palladio-paulus-caliary-artist-bernard-picart-engraver-..-2	1790-01-01T00:00:00Z	1790	Andrea Palladio Paulus Caliary, artist; Bernard Picart, engraver ..2	Andrea Palladio Paulus Caliary, Artist; Bernard Picart, Engraver .. 2	ita	opensource_image
sprezzatura50way00pete	2001-01-01T00:00:00Z	2001	D'Epiro, Peter; Pinkowish, Mary Desmond	Sprezzatura : 50 ways Italian genius shaped the world	eng	internetarchivebooks; printdisabled; fav-abdallah_fayed; fav-alinso; fav-allanmichael23; fav-andcast827; fav-angelica_reyes-miller975; fav-artursz; fav-ashandwine; fav-ballin102825
dellavitaedelle00scol	1837-01-01T00:00:00Z	1837	Scolari, Filippo, 1792-1872; Palladio, Andrea, 1508-1580	Della vita e delle opere dell'architetto Vincenzo Scamozzi commentario	ita	university_maryland_cp; americana
gri_33125010858245	1711-01-01T00:00:00Z	1711	Palladio, Andrea, 1508-1580; Louisa, Domenico	L'architettura d'Andrea Palladio, divisa in quatro libri : di nuovo ristampata, ed abbellita coll'impressione delle figure in rame non più usata : con l'aggiunta del quinto libro,	ita	getty; americana; fav-aurexgo; fav-helgiklimov; fav-lrudolph9635
gri_33125011161524	1785-01-01T00:00:00Z	1785	Bertotti Scamozzi, Ottavio, 1719-1790	Le terme dei Romani	ita; fre	getty; americana; fav-alvelin; fav-helgiklimov; fav-impinkainteasy; fav-pere432; fav-rafa_cerq
